Tyrion-Lannister	650,829,782,2261
Jon-Snow	784,360,756,1900
Joffrey-Baratheon	422,629,598,1649
Eddard-Stark	1284,169,94,1547
Sansa-Stark	545,313,532,1390
Robb-Stark	516,344,486,1346
Bran-Stark	531,486,311,1328
Robert-Baratheon	941,214,167,1322
Cersei-Lannister	424,515,363,1302
Arya-Stark	430,424,442,1296
Catelyn-Stark	520,320,325,1165
Jaime-Lannister	241,154,563,958
Daenerys-Targaryen	443,136,308,887
Stannis-Baratheon	105,461,299,865
Samwell-Tarly	148,93,413,654
Renly-Baratheon	186,357,62,605
Petyr-Baelish	313,137,128,578
Varys	231,224,99,554
Tywin-Lannister	181,111,258,550
Sandor-Clegane	135,130,207,472
Jeor-Mormont	181,163,120,464
Theon-Greyjoy	133,294,36,463
Davos-Seaworth	0,137,239,376
Luwin	210,158,5,373
Jorah-Mormont	154,67,136,357
Gregor-Clegane	74,63,195,332
Rickon-Stark	98,145,78,321
Hodor	52,122,123,297
Drogo	256,19,21,296
Bronn	109,94,88,291
Lysa-Arryn	138,17,132,287
Mance-Rayder	3,19,252,274
Aemon-Targaryen-(Maester-Aemon)	74,34,154,262
Brienne-of-Tarth	0,96,161,257
Pycelle	150,60,41,251
Grenn	85,17,149,251
Rodrik-Cassel	124,120,3,247
Loras-Tyrell	78,47,113,238
Meryn-Trant	36,105,95,236
Gendry	3,97,129,229
Edmure-Tully	48,50,119,217
Pypar	107,0,105,212
Jojen-Reed	0,90,122,212
Tommen-Baratheon	37,86,82,205
Meera-Reed	0,80,124,204
Barristan-Selmy	143,26,27,196
Hot-Pie	0,126,69,195
Ilyn-Payne	43,79,67,189
Jon-Arryn	169,0,11,180
Craster	0,73,100,173
Melisandre	0,51,121,172
Janos-Slynt	25,71,76,172
Oberyn-Martell	0,0,167,167
Roose-Bolton	19,49,98,166
Margaery-Tyrell	0,30,132,162
Walder-Frey	41,9,106,156
Lem	0,0,155,155
Qhorin-Halfhand	0,88,66,154
Alliser-Thorne	80,18,55,153
Jory-Cassel	152,0,0,152
Polliver	0,50,101,151
Viserys-Targaryen	105,9,35,149
Ygritte	0,24,124,148
Mordane	141,0,4,145
Beric-Dondarrion	28,8,107,143
Myrcella-Baratheon	54,66,21,141
Shae	15,61,64,140
Tickler	0,49,90,139
Irri	81,9,45,135
Rafford	0,55,78,133
Aerys-II-Targaryen	37,22,68,127
Brynden-Tully	69,14,39,122
Rhaegar-Targaryen	53,16,53,122
Boros-Blount	26,58,37,121
Benjen-Stark	104,5,12,121
Yoren	33,87,0,120
Dunsen	0,47,73,120
Jhiqui	60,10,48,118
Mace-Tyrell	6,23,89,118
Osha	31,86,0,117
Belwas	0,20,94,114
Thoros-of-Myr	5,3,98,106
Amory-Lorch	0,86,19,105
Rattleshirt	0,14,86,100
Jon-Umber-(Greatjon)	39,8,52,99
Kevan-Lannister	28,0,71,99
Styr	0,0,99,99
Lommy-Greenhands	0,99,0,99
Arstan	0,0,90,90
Hoster-Tully	24,11,55,90
Jhogo	43,33,12,88
Rickard-Karstark	46,3,37,86
Eddison-Tollett	0,18,68,86
Bowen-Marsh	28,0,57,85
Tom-of-Sevenstreams	0,0,85,85
Cressen	0,80,4,84
Nan	33,24,26,83
Cleos-Frey	0,41,41,82
Osmund-Kettleblack	0,40,42,82
Anguy	0,0,81,81
Illyrio-Mopatis	70,0,11,81
Tormund	0,0,81,81
Dontos-Hollard	0,37,43,80
Podrick-Payne	0,23,55,78
Rorge	0,53,24,77
Gilly	0,0,77,77
Pylos	0,42,35,77
Aggo	36,33,7,76
Axell-Florent	0,9,66,75
